id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_actions,first_action_date,last_action_date,click_count,reply_count,email_interaction_length_days,action_count_lag_1,action_count_lag_2,action_count_lag_5,action_count_lag_7,action_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_interaction_rate,cumulative_action_count,cumulative_click_count,cumulative_reply_count,days_since_last_action,avg_time_between_interactions,D&B_Score,target_met
1572,1,0,0,0,0,1,25.0,0,0,0,0,1,0,Unknown,MD,7,2021-02-10 16:19:37+00:00,2022-04-15 14:27:10+00:00,0,7,428,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,68.14504187401384,71.0,HIGH,0
1999,1,0,0,0,0,0,1.0,0,0,0,0,1,0,Unknown,NJ,1,2021-09-01 17:47:42+00:00,2021-09-01 17:47:42+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
2107,1,0,0,0,0,0,13.0,0,0,1,0,1,0,Unknown,NY,2,2023-01-25 21:34:20+00:00,2023-02-15 19:19:27+00:00,1,1,20,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.5,1.0,35.507646559048425,20.0,HIGH,0
2285,1,0,0,0,0,0,1.0,0,0,0,0,1,0,Unknown,OK,1,2020-04-13 19:23:03+00:00,2020-04-13 19:23:03+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
2337,1,0,0,0,0,0,38.0,0,0,0,1,0,1,Unknown,ON,64,2022-09-08 16:13:23+00:00,2024-02-02 13:40:05+00:00,22,42,511,0.984375,0.96875,0.921875,0.890625,1.0,0.0,1.0,1.0,32.5,13.09375,19.40625,8.625238954970264,7.9523809523809526,HIGH,0
2347,1,0,0,0,0,1,150.0,0,0,0,1,0,1,Unknown,ON,5,2023-05-31 18:02:35+00:00,2023-10-23 14:37:01+00:00,0,5,144,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,39.00305862361937,36.0,HIGH,0
2389,1,0,0,0,0,1,3.0,0,0,0,0,1,0,Unknown,PA,6,2023-09-19 17:10:53+00:00,2023-09-20 16:29:01+00:00,2,4,0,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0,1.0,0.0,1.0,1.0,3.5,1.8333333333333333,1.6666666666666667,8.502548853016142,0.0,HIGH,0
2467,1,0,0,0,0,0,12.0,0,0,0,0,0,1,Unknown,PE,1,2022-02-28 14:14:37+00:00,2022-02-28 14:14:37+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
2624,1,0,0,0,0,1,4.0,0,0,0,0,1,0,Unknown,TX,2,2021-06-18 16:01:34+00:00,2021-06-18 16:24:05+00:00,0,2,0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,25.50764655904843,0.0,HIGH,0
2716,1,0,0,0,0,0,13.0,0,0,0,0,1,0,Unknown,TX,2,2023-04-18 13:53:06+00:00,2023-10-23 19:33:56+00:00,0,2,188,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,119.50764655904842,188.0,HIGH,0
